run_id                                                        , timestamp                , val_bpb , train_loss_final, training_seconds, total_seconds, peak_vram_mb, tok_per_sec, mfu_percent, total_tokens_M, num_steps, num_params_M, depth, sequence_len, device_batch_size, total_batch_size, window_pattern, config_name, notes
2026-03-14T14:44:42+00:00_994a71b6-37f7-4b05-9931-b0cfb309af14, 2026-03-14T14:44:42+00:00, 1.354374,         3.785250,            300.0,         312.3,        258.9,      193914,        0.65,           51.1,      3116,         11.5,     4,          512,                 4,            16384, L             ,            , 
2026-03-14T15:01:21+00:00_1ebdc4f1-4fa5-4adc-80ac-00c6ad8aa3b5,2026-03-14T15:01:21+00:00,1.327390,3.795335,300.4,334.5,752.3,69641,0.93,29.0,884,26.3,6,512,8,32768,L,,
2026-03-14T15:15:40+00:00_7fedac26-d970-48ff-83e2-fb7215329a4d,2026-03-14T15:15:40+00:00,1.335136,3.731379,300.4,353.2,1287.7,52967,1.03,15.9,243,50.3,8,512,8,65536,L,,
2026-03-14T15:35:49+00:00_5f0d3992-a974-4ad6-a5a2-abf7b0bb06b3,2026-03-14T15:35:49+00:00,1.337802,3.751663,300.9,337.8,1287.7,53083,1.02,15.7,240,50.3,8,512,8,65536,L,,
2026-03-14T15:42:17+00:00_65781f19-7252-4405-b9eb-7f291ead43c7,2026-03-14T15:42:17+00:00,1.328597,3.714609,300.0,320.3,752.3,99239,0.87,27.1,826,26.3,6,512,8,32768,L,,
2026-03-14T16:03:20+00:00_ea0c46cd-ca2e-4f8d-853c-a512ebf6bd26,2026-03-14T16:03:20+00:00,1.328463,3.747972,300.3,318.9,752.3,100131,0.98,30.4,929,26.3,6,512,8,32768,L,,
